,production_year,id,title,budget,film_type,animated
504,2011,4467098,Thor,150000000,F,no
505,2011,4168961,Rise of the Planet of the Apes,93000000,F,no
506,2011,3412079,Captain America: The First Avenger,140000000,D|F,no
507,2011,4378277,The Help,25000000,F,no
508,2011,3390776,Bridesmaids,32500000,F,no
509,2011,3832918,Kung Fu Panda 2,150000000,D,yes
510,2011,4134604,Puss in Boots,130000000,D,yes
511,2011,4588063,X: First Class,160000000,F,no
512,2011,4168263,Rio,90000000,D,yes
513,2011,4437355,The Smurfs,110000000,D,yes
514,2011,3284422,Alvin and the Chipmunks: Chipwrecked,80000000,F,yes
515,2011,4291293,Super 8,50000000,D|F,no
516,2011,4146640,Rango,135000000,D,yes
517,2011,3721702,Horrible Bosses,35000000,D,no
518,2011,3674209,Green Lantern,200000000,F,no
519,2011,3720609,Hop,63000000,F,yes
521,2011,3800584,Just Go with It,80000000,D|F,no
522,2011,4371620,The Girl with the Dragon Tattoo,90000000,D,no
523,2011,3332305,Bad Teacher,19000000,F,no
524,2011,3463266,Cowboys & Aliens,163000000,F,no
525,2011,3663071,Gnomeo & Juliet,36000000,D,yes
526,2011,4375258,The Green Hornet,110000000,D|F,no
527,2011,4407609,The Muppets,45000000,D,no
528,2011,4150384,Real Steel,110000000,D,no
529,2011,3464929,"Crazy, Stupid, Love.",50000000,F,no
530,2011,3342524,Battle Los Angeles,70000000,D|F,no
531,2011,3752853,Immortals,75000000,D,no
532,2011,4354327,The Descendants,20000000,F,no
533,2011,4607364,Zookeeper,80000000,D,no
534,2011,4553754,War Horse,70000000,F,no
535,2011,3899385,Limitless,27000000,D|F,no
536,2011,4487252,Tower Heist,85000000,D|F,no
537,2011,4325096,The Adventures of Tintin,130000000,D,yes
538,2011,3456899,Contagion,60000000,D,no
539,2011,4557976,We Bought a Zoo,50000000,F,no
540,2011,3979905,Moneyball,50000000,F,no
541,2011,3778448,Jack and Jill,79000000,D,no
542,2011,3729387,Hugo,180000000,D,no
543,2011,3801687,Justin Bieber: Never Say Never,13000000,D,no
544,2011,3534807,Dolphin Tale,37000000,D,no
545,2011,4029666,No Strings Attached,25000000,F,no
546,2011,3989681,Mr. Popper's Penguins,55000000,D,no
547,2011,3688921,Happy Feet Two,135000000,D,yes
548,2011,4521048,Unknown,40000000,F,no
549,2011,4324404,The Adjustment Bureau,50200000,F,no
550,2011,4556254,Water for Elephants,38000000,F,no
551,2011,4394289,The Lincoln Lawyer,40000000,D,no
552,2011,3965136,Midnight in Paris,30000000,F,no
553,2011,3636268,Friends with Benefits,35000000,D,no
554,2011,3734741,I Am Number Four,50000000,F,no
555,2011,4261045,Source Code,32000000,D|F,no
556,2011,4019431,New Year's Eve,26000000,D,no
558,2011,3928373,Madea's Big Happy Family,25000000,F,no
